id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJhQG1-0EuzC0RCSuBLwwwiY0,Sembalun Village,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.370675799999999,116.53793499999998,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:30 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=10198735660051933961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJNb0cXGY5zC0RGttc5RqBieg,Big Tree Sambelia,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.472970499999999,116.67481209999998,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=16756065841125841690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJudYlfIzLzS0RD0qqNQpmuZk,LOMBOK WATERFALL,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.535682099999999,116.34307890000001,Monday: 6:00 AM – 6:30 PM | Tuesday: 6:00 AM – 6:30 PM | Wednesday: 6:00 AM – 6:38 PM | Thursday: 6:00 AM – 6:30 PM | Friday: 6:00 AM – 6:30 PM | Saturday: 6:00 AM – 6:30 PM | Sunday: 6:00 AM – 6:30 PM,https://maps.google.com/?cid=11076996952530504207&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction tourist information center tour agency travel agency national park park service point of interest establishment
ChIJJRN1XRiozS0RUGNX9NnWw5g,Goa Bangkang Prabu,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.8866277,116.25473649999998,Monday: 7:30 AM – 9:30 PM | Tuesday: 7:30 AM – 9:30 PM | Wednesday: 7:30 AM – 9:30 PM | Thursday: 7:30 AM – 9:30 PM | Friday: 7:30 AM – 9:30 PM | Saturday: 7:30 AM – 9:30 PM | Sunday: 7:30 AM – 9:30 PM,https://maps.google.com/?cid=11007878145819239248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction park point of interest establishment
ChIJA34khmy4zS0RFb2zry_Re1Y,Narmada Park,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.595438099999999,116.20438209999999,No Opening Hours Data,https://maps.google.com/?cid=6231804512138673429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,city park tourist attraction park point of interest establishment
ChIJswAMXCuQzS0R5NZBB2ESSnA,Bangko Bangko,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.726347200000001,115.8576509,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=8091299888467400420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ2zMce9PKzS0Rzjbo-IFmuDc,Tetebatu Monkey Forest Gate,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.533071699999999,116.4165277,Monday: 7:00 AM – 5:30 PM | Tuesday: 7:00 AM – 5:30 PM | Wednesday: 7:00 AM – 5:30 PM | Thursday: 7:00 AM – 5:30 PM | Friday: 7:00 AM – 5:30 PM | Saturday: 7:00 AM – 5:30 PM | Sunday: 7:00 AM – 5:30 PM,https://maps.google.com/?cid=4015071776213579470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJT3K63fW8zS0RvplhCOn1E0g,Gunung Batu Idung,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.708561,116.1068901,No Opening Hours Data,https://maps.google.com/?cid=5193765176505113022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJPQQd_rjJzS0RO7XYetx9XMA,Blue Lake Central Lombok,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.5289375,116.3113125,Monday: 6:00 AM – 6:00 PM | Tuesday: 6:00 AM – 6:00 PM | Wednesday: 6:00 AM – 6:00 PM | Thursday: 6:00 AM – 6:00 PM | Friday: 6:00 AM – 6:00 PM | Saturday: 6:00 AM – 6:00 PM | Sunday: 6:00 AM – 6:00 PM,https://maps.google.com/?cid=13861092139046843707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJTQA161m1zS0Ry87RY7rk1OU,LONGTUN WATERPARK KOPANG,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.6349336,116.35742630000001,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: Closed | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=16561113218937900747&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJtyw4ALipzS0Rpov2eUBWYJU,La Cabaña Lombok,4.7,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.8899218,116.27367999999998,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,https://maps.google.com/?cid=10763697944339581862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,spanish restaurant restaurant food point of interest establishment
ChIJjUIwWCuozS0RYMQ5nRsAdjg,Kenza Cafe & Restaurant Kuta Lombok,4.6,PRICE_LEVEL_MODERATE,Indoor,-8.891216800000002,116.27688180000001,Monday: 7:00 AM – 11:00 PM | Tuesday: 7:00 AM – 11:00 PM | Wednesday: 7:00 AM – 11:00 PM | Thursday: 7:00 AM – 11:00 PM | Friday: 7:00 AM – 11:00 PM | Saturday: 7:00 AM – 11:00 PM | Sunday: 7:00 AM – 11:00 PM,https://maps.google.com/?cid=4068439431977747552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant halal restaurant breakfast restaurant cocktail bar seafood restaurant family restaurant coffee shop cafe vegetarian restaurant bar food store food store point of interest establishment
ChIJbSpOpiyozS0RmG_0yzSHVy8,El Bazar Cafe & Restaurant,4.7,PRICE_LEVEL_MODERATE,Indoor,-8.8907153,116.27685319999999,Monday: 4:00 – 11:00 PM | Tuesday: 4:00 – 11:00 PM | Wednesday: 4:00 – 11:00 PM | Thursday: 4:00 – 11:00 PM | Friday: 4:00 – 11:00 PM | Saturday: 4:00 – 11:00 PM | Sunday: 4:00 – 11:00 PM,https://maps.google.com/?cid=3411343903586283416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant moroccan restaurant steak house halal restaurant wine bar mediterranean restaurant fine dining restaurant cocktail bar seafood restaurant bar food point of interest establishment
ChIJH3Zcin2pzS0RkXFwxDtEsLM,Elamu Lombok,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.890650299999999,116.28122820000002,Monday: 7:00 AM – 11:00 PM | Tuesday: 7:00 AM – 11:00 PM | Wednesday: 7:00 AM – 11:00 PM | Thursday: 7:00 AM – 11:00 PM | Friday: 7:00 AM – 11:00 PM | Saturday: 7:00 AM – 11:00 PM | Sunday: 7:00 AM – 11:00 PM,https://maps.google.com/?cid=12947923952179638673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,greek restaurant mediterranean restaurant cocktail bar bar restaurant food point of interest establishment
ChIJd-2KmUipzS0RON9tQzCIvnY,Cantina Mexicana Kuta Lombok,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.8905272,116.27699520000002,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 – 11:00 PM | Saturday: 12:00 – 11:00 PM | Sunday: 12:00 – 11:00 PM,https://maps.google.com/?cid=8556426082921602872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,mexican restaurant taco restaurant halal restaurant beer garden cocktail bar family restaurant event venue bar restaurant food point of interest establishment
ChIJTRbNXY2pzS0RBYj37_n31wI,Milky Wave - Japanese Fusion Cuisine Restaurant,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.882292699999999,116.2626931,Monday: 12:00 – 10:30 PM | Tuesday: 12:00 – 10:30 PM | Wednesday: 12:00 – 10:30 PM | Thursday: 12:00 – 10:30 PM | Friday: 12:00 – 10:30 PM | Saturday: 12:00 – 10:30 PM | Sunday: 12:00 – 10:30 PM,https://maps.google.com/?cid=204904960913541125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant food point of interest establishment
